Semana_Epidemiologica,chuva,temp_ar,umidade,vento_vel,chuva_lag_1,temp_ar_lag_1,umidade_lag_1,vento_vel_lag_1,chuva_lag_2,temp_ar_lag_2,umidade_lag_2,vento_vel_lag_2,chuva_lag_3,temp_ar_lag_3,umidade_lag_3,vento_vel_lag_3,chuva_lag_4,temp_ar_lag_4,umidade_lag_4,vento_vel_lag_4,ano
37,1.0,22.77916666666667,52.80952380952381,3.7273809523809525,0.0,22.848214285714285,58.75595238095238,4.097619047619047,0.0,20.938095238095237,67.0,3.9761904761904763,0.0,23.054166666666667,56.595238095238095,3.4672619047619047,0.0,16.91845238095238,66.08333333333333,3.5226190476190475,2025
38,3.4,24.098214285714285,57.44642857142857,3.6589285714285715,1.0,22.77916666666667,52.80952380952381,3.7273809523809525,0.0,22.848214285714285,58.75595238095238,4.097619047619047,0.0,20.938095238095237,67.0,3.9761904761904763,0.0,23.054166666666667,56.595238095238095,3.4672619047619047,2025
39,6.4,20.38154761904762,67.07142857142857,4.976785714285715,3.4,24.098214285714285,57.44642857142857,3.6589285714285715,1.0,22.77916666666667,52.80952380952381,3.7273809523809525,0.0,22.848214285714285,58.75595238095238,4.097619047619047,0.0,20.938095238095237,67.0,3.9761904761904763,2025
40,1.2,24.936309523809523,58.398809523809526,3.8589285714285713,6.4,20.38154761904762,67.07142857142857,4.976785714285715,3.4,24.098214285714285,57.44642857142857,3.6589285714285715,1.0,22.77916666666667,52.80952380952381,3.7273809523809525,0.0,22.848214285714285,58.75595238095238,4.097619047619047,2025
41,81.2,22.534131736526945,66.98203592814372,4.449700598802395,1.2,24.936309523809523,58.398809523809526,3.8589285714285713,6.4,20.38154761904762,67.07142857142857,4.976785714285715,3.4,24.098214285714285,57.44642857142857,3.6589285714285715,1.0,22.77916666666667,52.80952380952381,3.7273809523809525,2025
42,70.0,22.853892215568862,74.96407185628742,3.4766467065868265,81.2,22.534131736526945,66.98203592814372,4.449700598802395,1.2,24.936309523809523,58.398809523809526,3.8589285714285713,6.4,20.38154761904762,67.07142857142857,4.976785714285715,3.4,24.098214285714285,57.44642857142857,3.6589285714285715,2025
43,0.0,21.35276073619632,54.190184049079754,5.295092024539877,70.0,22.853892215568862,74.96407185628742,3.4766467065868265,81.2,22.534131736526945,66.98203592814372,4.449700598802395,1.2,24.936309523809523,58.398809523809526,3.8589285714285713,6.4,20.38154761904762,67.07142857142857,4.976785714285715,2025
44,90.0,21.854761904761904,80.82738095238095,3.082142857142857,0.0,21.35276073619632,54.190184049079754,5.295092024539877,70.0,22.853892215568862,74.96407185628742,3.4766467065868265,81.2,22.534131736526945,66.98203592814372,4.449700598802395,1.2,24.936309523809523,58.398809523809526,3.8589285714285713,2025
45,48.4,22.5375,78.95238095238095,3.288095238095238,90.0,21.854761904761904,80.82738095238095,3.082142857142857,0.0,21.35276073619632,54.190184049079754,5.295092024539877,70.0,22.853892215568862,74.96407185628742,3.4766467065868265,81.2,22.534131736526945,66.98203592814372,4.449700598802395,2025
46,55.6,22.35238095238095,73.88690476190476,3.4035714285714285,48.4,22.5375,78.95238095238095,3.288095238095238,90.0,21.854761904761904,80.82738095238095,3.082142857142857,0.0,21.35276073619632,54.190184049079754,5.295092024539877,70.0,22.853892215568862,74.96407185628742,3.4766467065868265,2025
47,28.4,23.311309523809523,67.8452380952381,3.2226190476190473,55.6,22.35238095238095,73.88690476190476,3.4035714285714285,48.4,22.5375,78.95238095238095,3.288095238095238,90.0,21.854761904761904,80.82738095238095,3.082142857142857,0.0,21.35276073619632,54.190184049079754,5.295092024539877,2025
48,9.0,23.714880952380952,65.20238095238095,3.0369047619047618,28.4,23.311309523809523,67.8452380952381,3.2226190476190473,55.6,22.35238095238095,73.88690476190476,3.4035714285714285,48.4,22.5375,78.95238095238095,3.288095238095238,90.0,21.854761904761904,80.82738095238095,3.082142857142857,2025
49,6.6000000000000005,25.969642857142855,68.28571428571429,3.2892857142857146,9.0,23.714880952380952,65.20238095238095,3.0369047619047618,28.4,23.311309523809523,67.8452380952381,3.2226190476190473,55.6,22.35238095238095,73.88690476190476,3.4035714285714285,48.4,22.5375,78.95238095238095,3.288095238095238,2025
50,211.0,22.824404761904763,84.42857142857143,3.149404761904762,6.6000000000000005,25.969642857142855,68.28571428571429,3.2892857142857146,9.0,23.714880952380952,65.20238095238095,3.0369047619047618,28.4,23.311309523809523,67.8452380952381,3.2226190476190473,55.6,22.35238095238095,73.88690476190476,3.4035714285714285,2025
51,8.4,24.119642857142857,75.55952380952381,3.544642857142857,211.0,22.824404761904763,84.42857142857143,3.149404761904762,6.6000000000000005,25.969642857142855,68.28571428571429,3.2892857142857146,9.0,23.714880952380952,65.20238095238095,3.0369047619047618,28.4,23.311309523809523,67.8452380952381,3.2226190476190473,2025
52,7.0,28.42831325301205,65.57831325301204,2.124698795180723,8.4,24.119642857142857,75.55952380952381,3.544642857142857,211.0,22.824404761904763,84.42857142857143,3.149404761904762,6.6000000000000005,25.969642857142855,68.28571428571429,3.2892857142857146,9.0,23.714880952380952,65.20238095238095,3.0369047619047618,2025
