data_iniSE;SE;casos_est;casos_est_min;casos_est_max;casos;p_rt1;p_inc100k;Localidade_id;nivel;id;versao_modelo;Rt;pop;tempmin;umidmax;receptivo;transmissao;nivel_inc;umidmed;umidmin;tempmed;tempmax;casprov;notif_accum_year;Data_Inicio_Semanas;ano;Semana_Epidemiologica;temp_ar;chuva;umidade;chuva_lag_1;temp_lag_1;chuva_lag_2;temp_lag_2;chuva_lag_3;temp_lag_3;chuva_lag_4;temp_lag_4
2018-07-22;201830;2.0;2;2;2;0.81276435;1.7489855;0;1;353470820183019589;2023-08-20;2.6046278;114352;17.0;84.4900895714286;0;0;0;60.1858492857143;33.404297;22.4285717142857;29.1428571428571;0.0;34935;2018-07-22;2018;30;20.267857142857142;0.0;66.04761904761905;0.0;20.438690476190477;0.0;15.755952380952381;0.2;19.791071428571428;0.0;20.47202380952381
2018-07-15;201829;1.0;1;1;1;0.38870493;0.87449276;0;1;353470820182919589;2023-08-20;0.73353976;114352;19.0;66.9027345714286;0;0;0;48.477055;28.1190405514286;24.7773811428571;55.7142857142857;1.0;34935;2018-07-15;2018;29;20.438690476190477;0.0;62.964285714285715;0.0;15.755952380952381;0.2;19.791071428571428;0.0;20.47202380952381;0.2;18.676190476190477
2018-07-08;201828;0.0;0;0;0;0.0;0.0;0;1;353470820182819589;2023-08-20;0.0;114352;13.2857142857143;75.418017;0;0;0;63.8302471428571;50.6152291428571;15.8103894285714;19.0;0.0;34935;2018-07-08;2018;28;15.755952380952381;0.0;67.20833333333333;0.2;19.791071428571428;0.0;20.47202380952381;0.2;18.676190476190477;25.400000000000002;19.864880952380954
2018-07-01;201827;1.0;1;1;1;0.100342184;0.87449276;0;1;353470820182719589;2023-08-20;0.30147725;114352;18.5714285714286;73.2669895714286;0;0;0;61.5091744285714;47.0226364285714;21.1142854285714;24.5714285714286;0.0;34935;2018-07-01;2018;27;19.791071428571428;0.2;70.07142857142857;0.0;20.47202380952381;0.2;18.676190476190477;25.400000000000002;19.864880952380954;2.6;17.554761904761904
2018-06-24;201826;3.0;3;3;3;0.3946422;2.6234784;0;1;353470820182619589;2023-08-20;0.8228134;114352;19.8571428571429;70.8308197142857;0;0;0;55.6792371428571;42.382207;22.2889608571429;25.5714285714286;0.0;34935;2018-06-24;2018;26;20.47202380952381;0.0;69.29761904761905;0.2;18.676190476190477;25.400000000000002;19.864880952380954;2.6;17.554761904761904;0.0;19.11845238095238
2018-06-17;201825;3.0;3;3;3;0.41554385;2.6234784;0;1;353470820182519589;2023-08-20;0.8547392;114352;16.1428571428571;86.9102742857143;0;0;0;80.4584262857143;72.068469;17.8714284285714;20.5714285714286;1.0;34935;2018-06-17;2018;25;18.676190476190477;0.2;76.11904761904762;25.400000000000002;19.864880952380954;2.6;17.554761904761904;0.0;19.11845238095238;0.6000000000000001;16.02261904761905
2018-06-10;201824;5.0;5;5;5;0.7052089;4.372464;0;1;353470820182419589;2023-08-20;1.425636;114352;18.0;93.3594908571429;0;0;1;88.1938072857143;82.4999808571429;19.5649348571429;21.7142857142857;1.0;34935;2018-06-10;2018;24;19.864880952380954;25.400000000000002;80.48809523809524;2.6;17.554761904761904;0.0;19.11845238095238;0.6000000000000001;16.02261904761905;-809887.6;-4809.942857142857
2018-06-03;201823;2.0;2;2;2;0.2572493;1.7489855;0;1;353470820182319589;2023-08-20;0.59019727;114352;16.2857142857143;98.27204;0;0;0;90.8839794285714;80.4757577142857;17.6259738571429;19.5714285714286;1.0;34935;2018-06-03;2018;23;17.554761904761904;2.6;84.25595238095238;0.0;19.11845238095238;0.6000000000000001;16.02261904761905;-809887.6;-4809.942857142857;-1449855.0;-8626.435714285713
2018-05-27;201822;5.0;5;5;5;0.75929165;4.372464;0;1;353470820182219589;2023-08-20;1.6089774;114352;16.1428571428571;84.1943977142857;0;0;1;72.7773428571429;56.7314045714286;18.3012985714286;21.2857142857143;3.0;34935;2018-05-27;2018;22;19.11845238095238;0.0;73.18452380952381;0.6000000000000001;16.02261904761905;-809887.6;-4809.942857142857;-1449855.0;-8626.435714285713;-1629837.0;-9700.628571428571
2018-05-20;201821;2.0;2;2;2;0.4338424;1.7489855;0;1;353470820182119589;2023-08-20;0.8644259;114352;13.2857142857143;90.8438092857143;0;0;0;75.9236178571429;57.6149492857143;16.075433;19.7142857142857;0.0;34935;2018-05-20;2018;21;16.02261904761905;0.6000000000000001;75.79166666666667;-809887.6;-4809.942857142857;-1449855.0;-8626.435714285713;-1629837.0;-9700.628571428571;-1409859.0;-8387.592857142858
2018-05-13;201820;5.0;5;5;5;0.90371233;4.372464;0;1;353470820182019589;2023-08-20;2.67951;114352;17.8571428571429;100.0;0;0;1;78.1346581428571;51.5905255714286;22.6726188571429;29.0;1.0;34935;2018-05-13;2018;20;-4809.942857142857;-809887.6;-4839.119047619048;-1449855.0;-8626.435714285713;-1629837.0;-9700.628571428571;-1409859.0;-8387.592857142858;-1259874.0;-7492.784523809524
2018-05-06;201819;1.0;1;1;1;0.28476572;0.87449276;0;1;353470820181919589;2023-08-20;0.55182993;114352;19.1428571428571;90.89467;0;0;0;70.8610021428571;47.2222417142857;23.5178571428571;29.2857142857143;1.0;34935;2018-05-06;2018;19;-8626.435714285713;-1449855.0;-8622.14880952381;-1629837.0;-9700.628571428571;-1409859.0;-8387.592857142858;-1259874.0;-7492.784523809524;-1229877.0;-7313.219642857142
2018-04-29;201818;2.0;2;2;2;0.4576058;1.7489855;0;1;353470820181819589;2023-08-20;0.9102179;114352;20.7142857142857;87.3346557142857;0;0;0;61.2963604285714;35.2497054285714;25.8988094285714;31.8571428571429;0.0;34935;2018-04-29;2018;18;-9700.628571428571;-1629837.0;-9699.232142857143;-1409859.0;-8387.592857142858;-1259874.0;-7492.784523809524;-1229877.0;-7313.219642857142;-529909.4;-3138.060714285714
2018-04-22;201817;2.0;2;2;2;0.28333646;1.7489855;0;1;353470820181719589;2023-08-20;0.6255619;114352;18.7142857142857;98.25244;0;0;0;72.4800385714286;44.0584164285714;23.5892857142857;29.5714285714286;1.0;34935;2018-04-22;2018;17;-8387.592857142858;-1409859.0;-8382.285714285714;-1259874.0;-7492.784523809524;-1229877.0;-7313.219642857142;-529909.4;-3138.060714285714;-869893.4;-5166.176785714286
2018-04-15;201816;1.0;1;1;1;0.062560126;0.87449276;0;1;353470820181619589;2023-08-20;0.25008672;114352;17.8571428571429;87.8958662857143;0;0;0;78.0743951428571;66.9976928571429;20.1772728571429;23.4285714285714;0.0;34935;2018-04-15;2018;16;-7492.784523809524;-1259874.0;-7544.482142857143;-1229877.0;-7313.219642857142;-529909.4;-3138.060714285714;-869893.4;-5166.176785714286;-1279872.0;-7611.31488095238
2018-04-04;201815;4.0;4;4;4;0.49667636;3.497971;0;1;353470820181519589;2023-08-20;0.99443305;114352;19.8571428571429;97.5700571428571;0;0;0;87.8120855714286;72.2078254285714;21.7428568571429;24.8571428571429;;34935;2018-04-04;2018;15;-7313.219642857142;-1229877.0;-7303.767857142857;-529909.4;-3138.060714285714;-869893.4;-5166.176785714286;-1279872.0;-7611.31488095238;-1219877.8;-7252.924999999999
2018-04-01;201814;4.0;4;4;4;0.6161087;3.497971;0;2;353470820181419589;2023-08-20;1.2305552;114352;20.4285714285714;100.0;1;0;0;93.3356572857143;84.7578435714286;21.848052;23.7142857142857;4.0;34935;2018-04-01;2018;14;-3138.060714285714;-529909.4;-3100.029761904762;-869893.4;-5166.176785714286;-1279872.0;-7611.31488095238;-1219877.8;-7252.924999999999;-459951.0;-2718.455952380952
2018-03-25;201813;5.0;5;5;5;0.8081404;4.372464;0;2;353470820181319589;2023-08-20;1.8328329;114352;21.4285714285714;95.8266357142857;1;0;1;91.3731191428571;83.7250385714286;22.4610388571429;24.1428571428571;2.0;34935;2018-03-25;2018;13;-5166.176785714286;-869893.4;-5139.196428571428;-1279872.0;-7611.31488095238;-1219877.8;-7252.924999999999;-459951.0;-2718.455952380952;-389930.2;-2302.1428571428573
2018-03-18;201812;3.0;3;3;3;0.3989305;2.6234784;0;2;353470820181219589;2023-08-20;0.8292569;114352;22.2857142857143;98.3941357142857;1;0;0;92.4768285714286;79.1132028571429;23.7129871428571;26.2857142857143;1.0;34935;2018-03-18;2018;12;-7611.31488095238;-1279872.0;-7601.535714285715;-1219877.8;-7252.924999999999;-459951.0;-2718.455952380952;-389930.2;-2302.1428571428573;-369942.4;-2183.3184523809523
2018-03-11;201811;2.0;2;2;2;0.108051784;1.7489855;0;2;353470820181119589;2023-08-20;0.39823902;114352;22.8571428571429;97.5468857142857;1;0;0;90.7171342857143;80.4149057142857;24.6181817142857;27.7142857142857;0.0;34935;2018-03-11;2018;11;-7252.924999999999;-1219877.8;-7242.059523809524;-459951.0;-2718.455952380952;-389930.2;-2302.1428571428573;-369942.4;-2183.3184523809523;-359949.2;-2124.260714285714
2018-03-04;201810;2.0;2;2;2;0.11703961;1.7489855;0;2;353470820181019589;2023-08-20;0.41011897;114352;22.1428571428571;99.1579742857143;1;0;0;92.4982685714286;81.2396877142857;23.5714285714286;26.1428571428571;0.0;34935;2018-03-04;2018;10;-2718.455952380952;-459951.0;-2683.065476190476;-389930.2;-2302.1428571428573;-369942.4;-2183.3184523809523;-359949.2;-2124.260714285714;-899909.4;-5343.585714285715
2018-02-25;201809;8.0;8;8;8;0.90416014;6.995942;0;2;353470820180919589;2023-08-20;2.138524;114352;21.1428571428571;99.1392157142857;1;0;1;87.0739187142857;68.0799004285714;24.2872294285714;28.5714285714286;0.0;34935;2018-02-25;2018;9;-2302.1428571428573;-389930.2;-2318.8809523809523;-369942.4;-2183.3184523809523;-359949.2;-2124.260714285714;-899909.4;-5343.585714285715;-659924.8;-3912.3708333333334
2018-02-18;201808;4.0;4;4;4;0.63110745;3.497971;0;1;353470820180819589;2023-08-20;1.2671324;114352;21.0;95.8411642857143;1;0;0;88.4905737142857;77.8125971428571;22.8085497142857;25.4285714285714;1.0;34935;2018-02-18;2018;8;-2183.3184523809523;-369942.4;-2141.1130952380954;-359949.2;-2124.260714285714;-899909.4;-5343.585714285715;-659924.8;-3912.3708333333334;-149982.2;-868.3386904761904
2018-02-11;201807;5.0;5;5;5;0.6379967;4.372464;0;1;353470820180719589;2023-08-20;1.2528676;114352;20.5714285714286;99.1517885714286;1;0;1;94.690695;90.1740485714286;21.8031744285714;23.5714285714286;1.0;34935;2018-02-11;2018;7;-2124.260714285714;-359949.2;-2081.8630952380954;-899909.4;-5343.585714285715;-659924.8;-3912.3708333333334;-149982.2;-868.3386904761904;69.4;24.316071428571426
2018-02-04;201806;0.0;0;0;0;0.0;0.0;0;1;353470820180619589;2023-08-20;0.0;114352;20.2857142857143;90.3775885714286;0;0;0;76.871218;59.7142247142857;22.9416668571429;26.8571428571429;0.0;34935;2018-02-04;2018;6;-5343.585714285715;-899909.4;-5329.732142857143;-659924.8;-3912.3708333333334;-149982.2;-868.3386904761904;69.4;24.316071428571426;45.6;22.72797619047619
